donor_id,tanggal_terakhir_donasi,tanggal_pertama_donasi,frekuensi,total_nominal,recency_hari,skor_R,skor_F,skor_M,skor_gabungan_ahp,segmentasi
G14409,2021-02-27 05:50:00,2021-02-06 05:47:00,3,230000,1403,2,5,4,3.55,Tidur
G14411,2021-01-05 05:32:00,2021-01-05 05:32:00,1,20000,1456,2,1,1,1.4,Hilang
G14412,2021-01-05 08:41:00,2021-01-05 08:41:00,1,150000,1456,2,1,4,2.15,Tidur
G14415,2021-02-06 07:21:00,2021-01-05 14:28:00,2,231069,1424,2,4,4,3.2,Tidur
G14423,2021-01-05 19:22:00,2021-01-05 19:22:00,1,25000,1456,2,1,2,1.65,Hilang
G14425,2021-01-05 21:11:00,2021-01-05 21:11:00,1,100140,1456,2,1,4,2.15,Tidur
G14426,2023-03-21 12:21:00,2021-01-06 00:30:00,5,580000,651,4,5,5,4.6,Tidur
G14427,2021-02-18 04:58:00,2021-01-06 04:34:00,41,820000,1412,2,5,5,3.8,Tidur
G14428,2021-01-06 06:22:00,2021-01-06 06:22:00,1,100000,1455,2,1,3,1.9,Tidur
G14433,2021-01-06 18:48:00,2021-01-06 18:48:00,1,200000,1455,2,1,4,2.15,Tidur
G14437,2022-04-23 19:39:00,2021-01-16 15:02:00,4,550000,983,3,5,5,4.2,Tidur
G14440,2021-01-07 11:48:00,2021-01-07 11:48:00,1,50000,1454,2,1,2,1.65,Hilang
G14441,2023-08-19 09:38:00,2021-05-11 11:11:00,3,500000,500,4,5,5,4.6,Tidur
G14442,2021-01-07 13:29:00,2021-01-07 13:29:00,1,207000,1454,2,1,4,2.15,Tidur
G14443,2021-01-07 14:12:00,2021-01-07 14:12:00,1,50000,1454,2,1,2,1.65,Hilang
G14450,2021-01-07 17:17:00,2021-01-07 17:17:00,1,10000,1454,2,1,1,1.4,Hilang
G14451,2021-01-07 18:33:00,2021-01-07 18:33:00,1,10000,1454,2,1,1,1.4,Hilang
G14453,2021-01-07 20:48:00,2021-01-07 20:48:00,1,55000,1454,2,1,3,1.9,Hilang
G14454,2021-01-07 21:46:00,2021-01-07 21:46:00,1,100000,1454,2,1,3,1.9,Tidur
G14455,2021-01-08 07:59:00,2021-01-08 07:59:00,1,100000,1453,2,1,3,1.9,Tidur
G14457,2021-01-08 09:18:00,2021-01-08 09:18:00,1,50000,1453,2,1,2,1.65,Hilang
G14458,2021-01-08 11:04:00,2021-01-08 11:04:00,1,50000,1453,2,1,2,1.65,Hilang
G14459,2021-08-26 11:39:00,2021-01-08 11:16:00,3,700000,1223,2,5,5,3.8,Tidur
G14460,2021-01-08 12:10:00,2021-01-08 12:10:00,1,20000,1453,2,1,1,1.4,Hilang
G14461,2021-01-08 12:25:00,2021-01-08 12:25:00,1,100081,1453,2,1,4,2.15,Tidur
G14462,2021-12-05 20:23:00,2021-01-08 18:44:00,2,320000,1122,2,4,5,3.45,Tidur
G14463,2022-04-29 09:43:00,2021-01-08 19:46:00,3,370000,977,3,5,5,4.2,Tidur
G14467,2021-01-12 05:30:00,2021-01-12 05:30:00,1,20000,1449,2,1,1,1.4,Hilang
