periode,jumlah_transaksi,total_donasi_periode,jumlah_donatur_periode
2024-12,816,69211619,344
2024-11,773,68037982,375
2024-10,1160,72491613,542
2024-09,967,78870622,502
2024-08,995,80388157,528
2024-07,1120,85389590,637
2024-06,922,70849908,530
2024-05,1014,86338729,605
2024-04,1124,110119368,753
2024-03,897,92583603,547
2024-02,599,60740923,330
2024-01,602,55652210,375
2023-12,1020,75903026,696
2023-11,1002,66982630,631
2023-10,1032,77232018,634
2023-09,1074,80029257,666
2023-08,1134,75037254,747
2023-07,1062,80266870,724
2023-06,784,65188990,497
2023-05,883,71047163,550
2023-04,1484,120208305,1081
2023-03,1558,106332147,1198
2023-02,997,77945880,769
2023-01,703,70595642,533
2022-12,804,80046500,573
2022-11,843,74045654,647
2022-10,995,89941478,733
2022-09,777,80525210,570
2022-08,903,85085802,658
2022-07,685,74985416,485
2022-06,416,53251629,296
2022-05,1381,139599585,1145
2022-04,1064,120505396,769
2022-03,492,58700829,325
2022-02,604,63272424,410
2022-01,983,78572216,687
2021-12,1107,94859632,777
2021-11,847,85893588,637
2021-10,556,74901495,381
2021-09,568,59186285,374
2021-08,580,66580255,389
2021-07,628,71661929,364
2021-06,587,60008181,300
2021-05,1463,136634750,942
2021-04,774,66756702,406
2021-03,675,58493444,338
2021-02,906,88849472,534
2021-01,991,92037982,616
2020-12,745,80665703,440
2020-11,772,65439897,535
2020-10,1319,96150832,996
2020-09,1595,114902011,1248
2020-08,1189,104129104,836
2020-07,685,57697192,401
2020-06,1098,66659312,915
2020-05,1572,140503509,1258
2020-04,273,33303409,228
2020-03,85,9980299,71
2020-02,34,4358930,30
2020-01,11,2079700,11
